,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
191,AA462,222,23/01/2013,Staples Brothers,Marsh Farm  (Farm AD),Anaerobic Digestion,,,1.4,No,,,,,,,,Operational,Operational,"Sea Lane, Wrangle, Boston, Lincolnshire",Lincolnshire,East Midlands,England,PE22 9HE,"544,727","350,655",Boston Borough Council,,,,,,21/05/2009,,,,,,,03/08/2009,,,,,,24/02/2011
192,AA530,223,19/04/2012,Global Renewables Lancashire,Thornton Waste Recovery Park (Waste AD),Anaerobic Digestion,,,1.9,No,,,,,,,,Operational,Operational,"Fleetwood Road North, Thornton",Lancashire,North West,England,,"333,392","444,767",Lancashire County Council,,,,,,29/10/2009,,,,,,,28/01/2010,,,,,,01/05/2010
193,AA531,224,19/04/2012,Global Renewables Lancashire,Farington Waste Recovery Park (Waste AD),Anaerobic Digestion,,,1.9,No,,,,,,,,Operational,Operational,,Lancashire,North West,England,,"351,423","423,205",Lancashire County Council,,,,,,17/07/2006,,,,,,,22/11/2006,,,,,,01/09/2010
195,AA684,226,12/03/2012,Fernbrook Bio Limited,Fernbrook AD Plant (Waste AD),Anaerobic Digestion,,,1.5,Yes,,,,,,,,Operational,Operational,"Rothwell Lodge Farm, Rothwell, Kettering",Northamptonshire,East Midlands,England,NN16 8XF,"484,016","280,041",Northamptonshire County Council,,,,,,08/05/2009,,,,,,,22/10/2009,,,,,,01/09/2010
196,AA768,227,23/05/2012,Barfoots of Botley,Sefter Farm AD Plant (Farm AD),Anaerobic Digestion,,,1,Yes,,,,,,,,Operational,Operational,Sefter Farm Pagham Road Pagham,West Sussex,South East,England,,"489,102","99,582",Arun District Council,,,,,,10/07/2008,,,,,,,02/10/2008,,,,,,01/06/2010
197,AA773,228,24/05/2012,Private Developer,Brookfield Farm AD Plant (Farm AD),Anaerobic Digestion,,,1.3,No,,,,,,,,Operational,Operational,"Lower Reule, Church Eaton, Stafford",Staffordshire,West Midlands,England,,"384,502","319,762",Staffordshire County Council,,,,,,09/02/2009,,,,,,,01/05/2009,,,,,,01/05/2010
198,B0272,229,03/10/2018,Severn Trent (formerly Agrivert),Cassington AD (Waste AD),Anaerobic Digestion,,,2.1,Yes,,,,,,,,Operational,Operational,"Worton Farm, Worton, Witney, Oxon",Oxfordshire,South East,England,OX29 4FL,"446,279","211,425",Cherwell District Council,,,,,,30/07/2008,,,,,,,29/08/2008,,,,,,01/09/2010
199,B0465,230,11/09/2012,Blakiston Houston Estate Company,BH Energy - Biogas (AD),Anaerobic Digestion,,,2.1,No,,,,,,,,Operational,Operational,"99 Ballymiscaw Road, Dundonald, Belfast",Co. Down,Northern Ireland,Northern Ireland,BT16 1TX,"155,489","531,504",Northern Ireland Planning Service,,,,,,,,,,,,,,,,,,,04/04/2012
200,B0469,231,03/10/2018,Bio Capital Limited,Energen biogas cumbernauld,Anaerobic Digestion,,,2.4,No,,,,,,,,Operational,Operational,"Dunnswood Road, Wardpark South Industrial Estate, Cumbernauld, Glasgow",Strathclyde,Scotland,Scotland,G67 3EN,"277,889","676,918",North Lanarkshire Council,,,,,,17/09/2008,,,,,,,05/11/2008,,,,,,22/06/2011
201,B0569,232,05/12/2012,GENeco,Bristol STW (Waste AD),Anaerobic Digestion,,,10,No,,,,,,,,Operational,Operational,"Kings Weston Lane, Avonmouth, Bristol",Avon,South West,England,BS11 0YS,"353,600","179,530",Bristol City Council,,,,,,11/06/2010,,,,,,,14/12/2010,,,,,,04/12/2012
202,B0738,233,21/12/2015,PROjEN,A C Shropshire (Farm AD),Anaerobic Digestion,,,2.5,Yes,,,,,,,,Operational,Operational,"Green Lodge Farm, Forest Road, Huncote, Leicester",Leicestershire,East Midlands,England,LE9 3LE,"451,758","298,963",Blaby District Council,,,,,,18/09/2009,,,,,,,11/01/2010,,,,,,14/05/2013
204,EN00085,235,04/01/2012,Biogas Nord,Lowbrook Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,,,1.3,No,,,,,,,,Operational,Operational,"Lowbrook Farm, Belchalwell, Okeford Fitzpaine, Blandford Forum, Dorset",Dorset,South West,England,,"378,836","109,350",North Dorset District Council,,,,,,12/04/2006,,,,,,,06/06/2006,,,,,,26/06/2006
206,IF1101,237,04/12/2012,Geo E Gittus and Son,Symonds Farm Power Ltd (Farm AD),Anaerobic Digestion,,,1.4,Yes,,,,,,,,Operational,Operational,Orchard Piggeries Symonds Farm Newmarket Road Risby Suffolk,Suffolk,Eastern,England,,"580,088","265,389",St Edmundsbury Borough Council,,,,,,09/07/2009,,,,,,,07/09/2009,,,,,,01/03/2012
207,IF1282,238,13/02/2013,Hallwick Energy,Buttermilk Farm,Anaerobic Digestion,,,1.1,Yes,,,,,,,,Operational,Operational,"Baldock Road, Buntingford",Hertfordshire,Eastern,England,SG9 9RH,"534,209","229,393",East Hertfordshire District Council,,,,,,03/09/2010,,,,,,,12/01/2011,,,,,30/03/2011,01/05/2012
208,IF1285,239,13/02/2013,Private Developer,Spring Farm (biomass),Anaerobic Digestion,,,1,Yes,,,,,,,,Operational,Operational,"Fir Covert Road,Taverham",Norfolk,Eastern,England,,"615,969","316,308",Broadland District Council,,,,,,16/07/2009,,,,,,,15/12/2009,,,,,,01/08/2011
209,IF1287,240,08/10/2013,Hallwick Energy,Trinity Hall Farm,Anaerobic Digestion,,,1.1,Yes,,,,,,,,Operational,Operational,"Watling Street, Hockliffe, Leighton Buzzard",Bedfordshire,Eastern,England,LU7 9PY,"498,750","225,450",Central Bedfordshire Council,,,,,,15/09/2010,,,,,,,02/03/2011,,,,,,01/11/2012
211,AA349,242,03/01/2014,Prosper Demulder / ReFood,Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,,,2,Yes,,,,,,,,Operational,Operational,"Ings Road, Bentley, Doncaster, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,DN5 9SW,"457,265","404,820",Doncaster Metropolitan Borough Council,,,,,,27/08/2008,,,,,,,17/02/2009,,,,,01/04/2011,09/09/2011
213,AA400,245,03/03/2014,GWE Biogas,Sandhill Anaerobic Digestion Plant (Waste AD),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,Land North East Of Battleburn Cottages Garton Road Kirkburn East Riding Of Yorkshire,Humberside,Yorkshire and Humber,England,,"498,538","456,147",East Riding of Yorkshire Council,,,,,,03/03/2009,,,,,,,06/05/2009,,,,,,01/01/2011
215,AA299,247,04/10/2013,Private Developer,Abbots moor Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,,,1,No,,,,,,,,Operational,Operational,"Haughton, West Felton, Shropshire",Shropshire,West Midlands,England,,"337,451","327,233",Shropshire Council,,,,,,02/02/2011,,,,,,,26/09/2011,,,,,,30/11/2012
217,AA398,249,04/01/2012,Biffa,Poplars Anaerobic Digestion Facility (Waste AD),Anaerobic Digestion,,,6,No,,,,,,,,Operational,Operational,"Poplars Landfill Site, Lichfield Road, Cannock",Staffordshire,West Midlands,England,,"399,422","309,599",East Staffordshire Borough Council,,,,,,13/07/2009,,,,,,,15/01/2010,,,,,01/06/2011,31/07/2011
219,AA281,251,15/08/2012,Material Change,Reepham Road (Waste AD),Anaerobic Digestion,,,1.5,No,,,,,,,,Operational,Operational,"Near Felthorpe, Norfolk",Norfolk,Eastern,England,,"616,498","316,273",Broadland District Council,,,,,,28/10/2010,,,,,,,25/05/2011,,,,,31/07/2011,30/04/2012
223,B1338,256,27/11/2015,Severn Trent Water,Coleshill STW (Waste AD),Anaerobic Digestion,,,2.4,Yes,,,,,,,,Operational,Operational,"Coleshill STW, Lichfield Road, Coleshill, Warwickshire",Warwickshire,West Midlands,England,B46 1DA,"419,664","291,273",Warwickshire County Council,,,,,,27/06/2013,,,,,,,13/11/2013,,,,,03/03/2014,15/04/2015
224,C1870,257,03/05/2017,Bio Dynamic,Colwick Industrial Estate (Farm and Food waste),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"Eurobait Company Road, No 4 Colwick, Nottinghamshire",Nottinghamshire,East Midlands,England,NG4 2JT,"463,399","339,854",Gedling Borough Council,,,,,,02/08/2013,,,,,,,02/09/2013,,,,,01/03/2014,30/09/2014
226,C0149,259,02/06/2014,Barfoot Energy Projects,Green Waste Composting Facility (Waste AD),Anaerobic Digestion,,,1.2,No,,,,,,,,Operational,Operational,"Green Waste Composting Facility, Bushywarren Lane, Ellisfield, Newbury, Berkshire",Hampshire,South East,England,RG20,"465,377","146,817",Basingstoke and Deane Borough Council,,,,,,02/05/2012,,,,,,,09/07/2012,,,,,,20/05/2014
227,B1283,260,04/11/2014,Singleton Birch,Singleton Birch (Farm AD),Anaerobic Digestion,,,1.5,No,,,,,,,,Operational,Operational,"Brigg Road, Melton Ross, Croxton",Humberside,Yorkshire and Humber,England,DN38 6AE,"508,839","411,734",North Lincolnshire Council,,,,,,12/12/2012,,,,,,,11/03/2013,,,,,27/07/2013,21/03/2014
228,C1960,261,03/05/2017,Ancala Bioenergy (formerly Biogen),Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,Anaerobic Digestion,,,1,No,,,,,,,,Operational,Operational,"Bryn Pica Landfill and Recycling, Merthyr Road, Llwdcoed, Aberdare",Mid Glamorgan,Wales,Wales,CF44 0BX,"300,938","205,377",Rhondda Cynon Taff County Borough Council,,,,,,23/08/2013,,,,,,,07/10/2013,,,,,01/04/2014,15/09/2015
230,07082M4,263,26/02/2013,Greater Manchester Waste,Bredbury Park Way - AD Stockport (Waste AD),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"Bredbury Park Industrial Estate, Bredbury, Stockport",Greater Manchester,North West,England,SK6 2SN,"392,500","392,300",Stockport Metropolitan Borough Council,,,,,,06/08/2007,,,,,,,02/11/2007,,,,,01/07/2010,03/10/2011
232,A0381,265,20/04/2017,Future Biogas,"Stud Farm, Rufford (Farm AD)",Anaerobic Digestion,,,2.2,Yes,,,,,,,,Operational,Operational,"Rufford, Newark, Nottinghamshire",Nottinghamshire,East Midlands,England,NG22 9HB,"465,057","362,789",Nottinghamshire County Council,,,,,,28/09/2009,,,,,,,05/07/2010,,,,,01/09/2016,30/03/2017
233,A0456,266,01/11/2016,Scottish and Southern Energy (SSE) / William Tracey Ltd,Barkip Anaerobic Digestor (Waste AD),Anaerobic Digestion,,,2.2,Yes,,,,,,,,Operational,Operational,"Barkip Landfill Site, Dalry",Strathclyde,Scotland,Scotland,KA24 4JJ,"229,333","650,530",North Ayrshire Council,,,,,,02/09/2009,,,,,,,15/10/2009,,,,,01/09/2010,11/05/2012
234,AA017,267,20/12/2011,Kirk Environmental,Dryholme Farm (Farm AD),Anaerobic Digestion,,,1,No,,,,,,,,Operational,Operational,"Dryholme Farm, Silloth, Wigton, Cumbria",Cumbria,North West,England,CA7 4PZ,"312,882","552,124",Allerdale Borough Council,,,,,,02/12/2009,,,,,,,16/06/2010,,,,,01/02/2011,04/11/2011
236,AA285,269,15/05/2014,Fife Council,Lochhead Landfill CHP,Anaerobic Digestion,,,1.7,Yes,,,,,,,,Operational,Operational,"Dunfermline, Fife",Fife,Scotland,Scotland,,"308,683","690,319",Fife Council,,,,,,07/03/2011,,,,,,,18/08/2011,,,,,01/04/2012,31/03/2014
237,AA393,270,03/05/2017,Ancala Bioenergy (formerly Biogen),Merevale & Blyth Estate (Waste AD),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"Merevale Lane, Atherstone, Warwickshire",Warwickshire,West Midlands,England,,"428,111","297,109",Warwickshire County Council,,,,,,06/12/2010,,,,,,,28/03/2011,,,,,28/05/2013,15/09/2015
238,AA405,271,03/05/2017,Ancala Bioenergy (formerly Biogen),Bygrave Lodge Farm Anaerobic Digestion Facility (Farm AD),Anaerobic Digestion,,,2.3,No,,,,,,,,Operational,Operational,"Nr Baldock, Hertfordshire",Hertfordshire,Eastern,England,,"527,584","235,416",Hertfordshire County Council,,,,,,03/02/2011,,,,,,,01/05/2013,,,,,02/05/2013,20/09/2014
239,AA413,272,03/05/2017,Ancala Bioenergy (formerly Biogen),Westwood AD Plant (Farm AD),Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"Land At Higham Park Farm, Bedford Road, Rushden, Northamptonshire",Northamptonshire,East Midlands,England,,"498,144","263,639",East Northamptonshire Council,,,,,,11/01/2008,,,,,,,15/05/2008,,,,,,30/06/2009
240,AA461,273,03/01/2014,Barway Farms /Shropshire Energy,May Farm Anaerobic Digester (Farm AD),Anaerobic Digestion,,,2.4,Yes,,,,,,,,Operational,Operational,"May Farm, White House Road, Littleport, Ely, Cambridgeshire ",Cambridgeshire,Eastern,England,CB7 4TF,"559,921","286,678",East Cambridgeshire District Council,,,,,,09/06/2011,,,,,,,29/11/2012,,,,,,12/12/2013
242,AA668,275,02/03/2018,Biogen (formerly Tamar Energy),Carousel Dairy AD Plant (Farm AD),Anaerobic Digestion,,,1.5,Yes,,,,,,,,Operational,Operational,"Manor Farm, Farleigh Lane, Farleigh Wallop",Hampshire,South East,England,RG25 2HR,"460,867","146,936",Basingstoke and Deane Borough Council,,,,,,30/08/2011,,,,,,,12/03/2012,,,,,04/06/2013,10/12/2013
244,AA769,277,21/01/2015,Cannington Bioenergy,Cannington Cold Stores,Anaerobic Digestion,,,3.3,Yes,,,,,,,,Operational,Operational,"Cannington, Bridgwater",Somerset,South West,England,TA5 2NJ,"323,366","138,920",Sedgemoor District Council,,,,,,25/01/2008,,,,,,,22/12/2008,,,,,,29/07/2009
245,AA774,278,29/11/2012,McCain Foods,McCain Foods AD Plant (AD),Anaerobic Digestion,,,1,No,,,,,,,,Operational,Operational,"Funthams Lane, Whittlesey, Peterborough, Cambridgeshire",Cambridgeshire,Eastern,England,PE7 2PG,"523,801","297,290",Fenland District Council,,,,,,12/03/2008,,,,,,,09/04/2008,,,,,,01/05/2010
247,AA872,280,23/05/2016,Emerald Biogas,Preston Road AD Plant (Waste AD),Anaerobic Digestion,,,2.8,Yes,,,,,,,,Operational,Operational,"land at Preston Road, Aycliffe Industrial Estate, Newton Aycliffe",Durham,North East,England,,"427,211","523,486",Durham County Council,,,,,,29/03/2010,,,,,,,06/07/2012,,,,,01/01/2013,28/10/2013
248,AA882,281,17/03/2014,Lynton Development / Teg Environmental,East Dagenham Docks AD (AD),Anaerobic Digestion,,,1.4,Yes,,,,,,,,Operational,Operational,"Plot 7A, Off Choats Road, Dagenham",Greater London,London,England,RM9 6,"548,394","182,415",Barking and Dagenham London Borough Council,,,,,,08/06/2011,,,,,,,16/03/2012,,,,,01/10/2012,04/03/2014
249,B0004,282,02/03/2018,Biogen (formerly Tamar Energy),Manor Farm (Farm AD),Anaerobic Digestion,,,1.5,Yes,,,,,,,,Operational,Operational,"Manor Farm, Holbeach Hurn, Spalding, Lincolnshire",Lincolnshire,East Midlands,England,PE12 8LR,"540,324","328,455",South Holland District Council,,,,,,17/03/2011,,,,,,,05/05/2011,,,,,04/06/2013,31/12/2013
250,B0090,283,05/04/2018,Olleco,Westcott Venture Park,Anaerobic Digestion,,,2,No,,,,,,,,Operational,Operational,"High Street, Westcott, Buckinghamshire",Buckinghamshire,South East,England,,"470,457","217,300",Aylesbury Vale District Council,,,,,,24/05/2010,,,,,,,09/07/2010,,,,,01/08/2011,07/11/2013
252,B0359,285,31/07/2013,Private Developer,Swancote Farm AD (Farm AD),Anaerobic Digestion,,,2.2,No,,,,,,,,Operational,Operational,"Swancote Farm, Swancote, Bridgnorth, Shropshire",Shropshire,West Midlands,England,WV15 5HB,"374,201","293,951",Shropshire Council,,,,,,01/09/2010,,,,,,,20/12/2010,,,,,01/04/2012,31/05/2012
253,B0457,286,30/01/2018,Viridor,Glasgow Renewable Energy and Recycling Centre (Waste AD),Anaerobic Digestion,,,5,No,,,,,,,,Operational,Operational,"Polmadie Disposal Complex, 425 Polmadie Road, Glasgow ",Strathclyde,Scotland,Scotland,G42 0PJ,"259,509","662,366",Glasgow City Council,,,,,,14/08/2012,,,,,,,29/01/2013,,,,,18/11/2013,15/12/2017
255,B0575,288,23/06/2017,Wyke Farms,Wyke Farms Biogas (Farm AD),Anaerobic Digestion,,,1,Yes,,,,,,,,Operational,Operational,"White House Farm, Bruton",Somerset,South West,England,BA4 6NX,"366,362","134,820",Somerset County Council,,,,,,01/03/2012,,,,,,,01/11/2012,,,,,30/11/2012,19/09/2013
256,B0631,289,13/06/2019,Shanks Group,South Kirkby Business Park (Waste AD),Anaerobic Digestion,,,6,No,,,,,,,,Operational,Operational,"South Kirkby, Wakefield",West Yorkshire,Yorkshire and Humber,England,WF9 4DG,"443,726","411,990",Wakefield Council,,,,,,19/06/2008,,,,,,,27/11/2008,,,,,17/07/2013,01/12/2015
257,B0664,290,15/03/2018,Energy Works / The Spencer Group,Energy Works Hull - AD (Waste AD),Anaerobic Digestion,,,3,No,,,,,,,,Operational,Operational,"Cleveland Street (former Adm Cocoa Plant), Dalton Street, Kingston Upon Hull",Humberside,Yorkshire and Humber,England,,"510,170","430,424",Kingston upon Hull City Council,,,,,,27/06/2011,,,,,,,20/10/2011,,,,,05/07/2016,01/03/2018
258,C0005,291,22/05/2013,Staples Brothers,Staples Anaerobic Digestion CHP Plant (Waste AD),Anaerobic Digestion,,,1.4,Yes,,,,,,,,Operational,Operational,"Staples Vegetables Limited, Station Farm, Station Road, Sibsey, Boston, Lincolnshire",Lincolnshire,East Midlands,England,PE22 0SE,"536,298","350,519",East Lindsey District Council,,,,,,08/07/2010,,,,,,,19/07/2010,,,,,,01/10/2011
261,N00050B,294,12/02/2014,Viridor / Wyvern Waste Services,Dimmer Anaerobic Digestor (Waste AD),Anaerobic Digestion,,,3,No,,,,,,,,Operational,Operational,"Dimmer, Castle Cary",Somerset,South West,England,,"361,141","131,346",South Somerset District Council,,,,,,13/08/2004,,,,,,,10/12/2004,,,,,,01/10/2013
264,B0343,297,03/10/2018,Severn Trent (formerly Agrivert),Wallingford (Waste AD),Anaerobic Digestion,,,2.4,Yes,,,,,,,,Operational,Operational,"Wallingford AD, Benson Lane, Preston Crowmarsh, Wallingford Oxfordshire",Oxfordshire,South East,England,OX10 6SL,"461,566","190,948",Oxfordshire County Council,,,,,,04/06/2010,,,,,,,30/03/2011,,,,,,17/05/2013
266,B1115,301,02/02/2018,Granville Ecopark,Granville Ecopark,Anaerobic Digestion,,,3,No,,,,,,,,Operational,Operational,"Lands to the immediate West of Linden Foods, Granville Industrial Estate, Dungannon",Co. Tyrone,Northern Ireland,Northern Ireland,BT70 1NJ,"88,500","521,293",Northern Ireland Planning Service,,,,,,25/03/2009,,,,,,,02/02/2010,,,,02/02/2015,01/09/2013,10/06/2014
270,B0547,306,11/08/2016,ReFood UK,Granox Biogas Plant,Anaerobic Digestion,,,5,Yes,,,,,,,,Operational,Operational,"Desoto Road, Widnes",Cheshire,North West,England,WA8 0PB,"350,392","384,214",Halton Borough Council,,,,,,21/03/2012,,,,,,,19/10/2012,,,,,01/01/2013,18/06/2014
271,B1052,307,22/06/2015,Prosper Demulder / ReFood,Prosper Demulder Limited Anaerobic Digestion Plant (Waste AD) - extension,Anaerobic Digestion,,,3,Yes,,,,,,,,Operational,Operational,"Ings Road, Bentley, Doncaster, South Yorkshire",South Yorkshire,Yorkshire and Humber,England,DN5 9SW,"457,265","404,820",Doncaster Metropolitan Borough Council,,,,,,30/08/2013,,,,,,,20/11/2013,,,,,18/03/2014,02/06/2015
272,B1246,308,03/10/2018,Severn Trent (formerly Agrivert),Trumps Farm (AD),Anaerobic Digestion,,,2.4,No,,,,,,,,Operational,Operational,"Long Cross, Chertsey, Surrey",Surrey,South East,England,KT16 0EF,"499,459","165,739",Runnymede Borough Council,,,,,,15/09/2010,,,,,,,12/05/2011,,,,,30/05/2013,28/02/2014
275,A0494,311,02/03/2018,Biogen (formerly Tamar Energy),Ratty's Lane Sustainable Energy Facility (Waste AD),Anaerobic Digestion,,,3,Yes,,,,,,,,Operational,Operational,"Rattys Lane, Hoddesdon",Hertfordshire,Eastern,England,EN11 0RG,"538,126","209,495",Hertfordshire County Council,,,,,,28/06/2010,,,,,,,26/03/2012,,,,26/03/2015,31/03/2014,04/07/2016
276,AA134,312,20/01/2017,Biffa/West Sussex County Council,Brookhurst Wood (Waste AD),Anaerobic Digestion,,,4.5,No,,,,,,,,Operational,Operational,"Horsham, West Sussex",West Sussex,South East,England,RH12 4QD,"517,281","135,056",West Sussex County Council,,,,,,31/07/2009,,,,,,,01/10/2010,,,,,20/06/2013,01/07/2015
277,AA617,313,02/03/2018,Biogen (formerly Tamar Energy),Halstead Renewable Power Project (Waste AD),Anaerobic Digestion,,,2,Yes,,,,,,,,Operational,Operational,Land Adjoining Fifth Avenue Bluebridge Industrial Estate Halstead Essex,Essex,Eastern,England,,"582,782","230,400",Braintree District Council,,,,,,16/07/2010,,,,,,,20/08/2010,,,,,04/06/2013,01/07/2014
281,B0321,317,23/07/2014,Viridor,Walpole Landfill AD (Waste AD),Anaerobic Digestion,,,1.6,No,,,,,,,,Operational,Operational,"Pawlett, Bridgwater, Somerset",Somerset,South West,England,,"331,400","143,200",Sedgemoor District Council,,,,,,28/04/2010,,,,,,,17/05/2010,,,,,01/03/2012,02/02/2014
282,B0564,318,03/05/2017,Ancala Bioenergy (formerly Biogen),Waen Biogas (Waste AD),Anaerobic Digestion,,,1,Yes,,,,,,,,Operational,Operational,"Former Abattoir, Holywell Road, Rhuallt, St Asaph, Denbighshire, LL17 0DS",Clwyd,Wales,Wales,,"304,959","374,970",Denbighshire County Council,,,,,,20/08/2012,,,,,,,21/11/2012,,,,,01/06/2013,04/08/2014
288,C2647,324,19/01/2017,Welland Waste Management,Pebble Hall Farm - resubmission - Food Waste AD,Anaerobic Digestion,,,4,No,,,,,,,,Operational,Operational,"Pebble Hall Farm, Theddingworth Road, Marston Trussell, Northamptonshire, LE17 6NJ",Northamptonshire,East Midlands,England,LE17 6NJ,"466,125","284,563",Daventry District Council,,,,,,17/01/2014,,,,,,,31/01/2014,,,,,15/01/2015,15/12/2015
289,C2684,325,25/11/2015,St Nicholas Court Farms Ltd,St Nicholas Court Farm (AD) - resubmission,Anaerobic Digestion,,,1.2,No,,,,,,,,Operational,Operational,"St Nicholas At Wade, Birchington, Kent",Kent,South East,England,,"625,958","166,890",Thanet District Council,,,,,,25/07/2013,,,,,,,26/09/2013,,,,,31/03/2014,01/12/2014
291,H0116,327,10/05/2016,Wight Farm Energy,Gore Cross - AD,Anaerobic Digestion,,,2.2,Yes,,,,,,,,Operational,Operational,Land opposite Gore Cemetery and near to Arreton Cross Arreton Newport Isle of Wight PO30,Isle of Wight,South East,England,PO30 3A,"452,924","86,485",Isle of Wight Council,,,,,,05/07/2013,,,,,,,20/12/2013,,,,,21/12/2013,20/12/2014
